Interaction with non-existent object,"verb + "" quoi ?""",,,,,,,,,,,,
Search by default,You don't find anything special,,,,,,,,,,,,
Langue,EN,,,,,,,,,,,,
ITEMS,torch,Fishing rod,rose,dead branch,candle,key,sword,crown,fish,crowned head,,,
Description,,,,,,,,,,,,,
Statuses,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CHARACTERS,Player,Troll,guard,princess,ghost,,,,,,,,
Description,,,,,,,,,,,,,
Statuses,,,,,,,,,,,,,
Items,torch,,key / sword,,crown,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATIONS,hut,royal gardens,pond,winding path,big tree,Drawbridge,court,Tower Staircase,tower,Catacomb Staircase,Catacombs,Banquet hall,Throne Room
Statuses,open,open,open,open,open,open,closed,open,closed,open,closed,closed,open
Items,Fishing rod,rose,fish,,dead branch,,,,,,,candle,
Characters,Player,,,,,troll,guard,,princess,,ghost,,
Hints,test/Fishing rod,the fish looks appetizing,,,,,,,,,,,
Block 1,,,,,,,,,,,,,
Actions,description,description,description,description,description,description,description,description,description,description,description,description,description
Condition,,,,,,,Player has crowned head,,,,,Player has crowned head,
Reaction,Welcome to the adventure! You are standing in a small hut. There's a fishing rod here.,"You are in the royal gardens, their vegetation is luxuriant. There are roses. You also see a hut.",You arrive on the bank of a pond,You walk along a winding path that winds through the hills. There is a very large tree.,You arrive at the top of the big tree. There is a dead branch which seems very solid.,You are facing the Drawbridge which leads to… Château Aventure. An unfriendly troll is blocking your way.,The guard wakes up & kneels before his new king.,You climb the Tower Staircase. You find yourself facing a door that is locked,You are in the tower. The princess is there.,You go down the steps that lead to the Catacombs. It's too dark to continue.,You are in the Catacombs. There is a scary ghost. He wears a crown,You arrive in a large Banquet hall. This room turns out to be full of partygoers celebrating the new owner of Château Aventure: you!,It’s the Throne Room of Château Aventure! There is an ornate throne in the center of the room.
Affected entity,,,,,,,,,,,,,
Statuses +,,,,,,,,,,,,,
Statuses - ,,,,,,,,,,,,,
Items +,,,,,,,,,,,,,
Items -,,,,,,,,,,,,,
New Location,,,,,,,,,,,,,
Block 2,,,,,,,,,,,,,
Actions,Examine Fishing rod,gather rose,Examine pond,go royal gardens,jump,Examine troll,description,open Porte,Examine princess,Use torch,Light up candle with torch,description,Sit on throne
Condition,,royal gardens has rose,,royal gardens is open,,,Player has not crowned head & guard is knocked out,Player has key,,Player has torch,Player has candle & Player has torch,Player has not crowned head,Player has crowned head & princess is not bride
Reaction,The Fishing rod is a simple Fishing rod.,You now have a rose in your inventory,There are fish swimming in the pond,Moving to : royal gardens,You crash to the ground. You die.,"The troll is very large, green, strong and seems grumpy.",You are in the courtyard of… Château Aventure. The guard is still stunned.,You unlock the door,"The princess is beautiful, but seems sad",You can now see more clearly,"The candle gives off a strange & acrid smoke. The ghost runs away and disappears, dropping the crown.",You arrive in a large Banquet hall. There is a strange candle on the table.,Long live the King of Château Aventure!
Affected entity,,Player,,Player,Player,,,tower,,Catacombs,ghost,,Player
Statuses +,,victory,,,dead,,,open,,open,soothed,,victory
Statuses - ,,,,,,,,closed,,closed,,,
Items +,,,,,,,,,,,,,
Items -,,,,,,,,,,,,,
New Location,,,,royal gardens,,,,,,,,,
Block 3,,,,,,,,,,,,,
Actions,Take Fishing rod,gather rose,Use Fishing rod,go Drawbridge,Climb dead branch,Attack troll,description,open Porte,Give rose to princess,Go Catacombs,Light up candle with torch,Examine candle,Sit on throne
Condition,hut has Fishing rod,royal gardens has rose,Player has Fishing rod,Drawbridge is open,big tree has dead branch,,Player has not crowned head & guard is not knocked out,Player has key,Player has rose,Catacombs is open,Player has not candle,,Player has crowned head & princess is bride
Reaction,You now have a Fishing rod in your inventory.,,You manage to catch a fish. You now have a fish in your inventory.,Movng to : Drawbridge,"The branch breaks under your feet, you fall from the top of the tree & die",The troll is much stronger than you and beats you to pulp,You are in the courtyard of… Château Aventure. There is a guard blocking the passage to the north,,"The princess is pleasantly surprised, & now knows that she can trust & confide in you.",Moving to : Catacombs,"Since you cheat with a candle that is not in your inventory, the ghost approaches you & strikes you with its icy touch",The candle is capped with esoteric runes. It's off.,Long live the King & Queen of Château Aventure!
